"","test.property_id","priceforest"
"1","82603b6ec5d3034e4facb34a",1202196924.95501
"2","e4d4c0fe71859192fb729755",755990084.84122
"3","e8f5b161ce53f56aaca46470",596008956.633958
"4","f62e8d6f2524d7b4174f3071",926153207.587475
"5","00721f86479fdd16eda1dae7",1185648975.7741
"6","6c2f4ff7fb4ef35e7e231350",697877242.869957
"7","d7f9babcd12374c239be827d",796168904.892359
"8","9e607837e732977eec8bf70a",462577211.449994
"9","80964572e8eca951d6bec5c2",424031774.726716
"10","0de81525f94d3e421111375d",399505036.923184
"11","e1307bbfdfdd67a77562ea03",798763354.960879
"12","61062c63dabe2f57f06259ca",474538233.76127
"13","4b11a5124dad7eb48c3a924d",313448714.649615
"14","2cafd84547908b627ffcedae",396521110.212585
"15","d83ee01adc895919e5f1d038",246350171.45533
"16","f1ce2447d6deb326c7d13653",416993483.288664
"17","b529251c453cca9a81cc1b49",1068736034.28846
"18","70ffc755a8515ccf1530eee0",620800185.606161
"19","4b75beaae14dcdccbd434324",431469610.606203
"20","b7d6b85cdad933fb665553ba",1059377107.22807
"21","f3687b17c3ac3f0df1b17cff",1035188282.93469
"22","f4088bc85fd8233e42306384",881517790.354408
"23","9951acd9410a4c41aa5e8f1e",729317533.224665
"24","fddf478d246114fefc83a73c",1027233964.34183
"25","792ded907a84cc9fc76b31dc",458804794.349922
"26","5a64842d7e616f0cef3ccfac",368023422.68494
"27","952116a752e49ef4480fa37e",274029322.318013
"28","3a79b826d6f5a36b912c775a",1079074675.46442
"29","2f82d25ae9b2777374709ed7",663911224.563394
"30","e089ed3d13b274200345e006",831593173.918385
"31","e338dac27f98c0370452ca30",1104120032.68976
"32","0992fb1eed4754d93b910521",732157281.438028
"33","05f0e576705bf7c597cd8c75",386952122.887479
"34","3f2b65b6f6ab73edf739ede5",890285229.996243
"35","29a1c723ac903e195a0c1aa2",617499904.985816
"36","d293a800a63421a6521457e9",617499904.985816
"37","3ee317a6d38dcf50a13cda5b",397024620.795032
"38","e634ad2ae281f7fde73cb99f",368398146.711997
"39","d0ed3b8726093a7e220b45e5",879996741.78211
"40","7c484b41761d479f6db73dba",487581600.290638
"41","409a3d6826b62e63a8cba791",714584597.042881
"42","592179620707b7ff94db50ca",1206855684.98909
"43","12d6bcc5bb8c76bc4175658f",610486031.016436
"44","c2406e1813afb4f485463910",1124439352.79459
"45","3aea2f162e3bcb804e3528d5",749347579.348316
"46","ec0f76cf88a653c42f4dac0a",796999135.964
"47","7bbfa52c436c2a358115e8fe",382654910.893203
"48","cfb5a28f983e7730bf62357c",428469885.457686
"49","1ee66fd9a8c9a7ceb9c81154",452145247.558125
"50","04181d9e60e2c3a10a226c7f",344619047.937081
"51","c66ce3cbe3dd40e6396a2d46",593006754.885358
